,Assignment,Points
0,Late Pass,"['X', '0']"
1,FAST Review,"['10', '10']"
2,Macbeth Theme Project,"['22', '25']"
3,Test WR,"['5', '5']"
4,Macbeth TEST,"['90', '100']"
5,Quote Analysis,"['10', '10']"
6,Macbeth Reading Role,"['12', '10']"
7,Act 5 Graphic Organizer,"['25.5', '30']"
8,Act 3 Graphic Organizer,"['29.5', '30']"
9,Socratic Seminar 3-4,"['19', '20']"
10,Quote Analysis - group,"['10', '10']"
11,Act 4 Graphic Organizer,"['Z', '30']"
12,Spelling Assignment 2,"['X', '10']"
13,Spelling Quiz 2,"['16.5', '20']"
14,Socratic Seminar Acts 1-2,"['23', '24']"
15,Quote Analysis Act 1-2,"['10', '10']"
16,Act 1-2 Quiz,"['38', '45']"
17,Act 2 Graphic Organizer,"['7.5', '30']"
18,Act 1 Graphic Organizer,"['19.5', '30']"
19,Spelling Assignment,"['9', '10']"
20,Spelling Quiz,"['15.5', '20']"
21,Macbeth Anticipation Guide - discussion,"['10', '10']"
22,Shakespeare Notes,"['10', '10']"
23,"""Why Do We Still Care About Shakespeare?""","['10', '15']"
